rank,name,repo,github_url,category,language,stars,forks,open_issues,created,last_update,days_since_update,trend_score,trend_rank,priority,phase,editorial_pick,pub_dev,youtube_signal,yt_search,topics,description,planned_title,slug,status
382,reply,flschweiger/reply,https://github.com/flschweiger/reply,Animation,Dart,555,69,5,2019-04-30,2021-08-02,1809,139,443,Low,P9,,,Low,https://www.youtube.com/results?search_query=flutter+reply,"animation, flutter, material-design, transitions",The 'Reply' Material Design case study built with Flutter.,Beautiful Flutter animations with reply,reply,Planned
383,Flutter-Complete-e-commerce,afgprogrammer/Flutter-Complete-e-commerce,https://github.com/afgprogrammer/Flutter-Complete-e-commerce,Animation,Dart,552,175,4,2019-10-09,2025-01-19,543,138,444,Low,P9,,,Low,https://www.youtube.com/results?search_query=flutter+flutter-complete-e-commerce,"e-commerce, e-commerce-app, flutter, flutter-animation, flutter-application, flutter-design",Flutter e-commerce Application  design and Animation - day 16-17,Beautiful Flutter animations with Flutter-Complete-e-commerce,flutter-complete-e-commerce,Planned
384,flutter_healthcare_app,TheAlphamerc/flutter_healthcare_app,https://github.com/TheAlphamerc/flutter_healthcare_app,UI/Components,Dart,550,228,1,2020-04-29,2024-04-14,823,138,445,Low,P9,,https://pub.dev/packages/flutter_healthcare_app,Low,https://www.youtube.com/results?search_query=flutter+flutter-healthcare-app,"flutter, flutter-app, flutter-examples, flutter-material, flutter-ui, flutter-widget",Helthcare app built in flutter,Build better Flutter UI with flutter_healthcare_app,flutter-healthcare-app,Planned
385,notes-app,bimsina/notes-app,https://github.com/bimsina/notes-app,Backend/Data,Dart,542,118,0,2019-05-08,2022-04-03,1565,136,446,Low,P9,,,Low,https://www.youtube.com/results?search_query=flutter+notes-app,"flutter, flutter-apps, flutter-ui, sqlite",Note Taking App made with Flutter with Sqlite as database..,Data & backend in Flutter using notes-app,notes-app,Planned
386,cheatreader,yaoyao2mm/cheatreader,https://github.com/yaoyao2mm/cheatreader,Library/Tooling,Dart,540,15,2,2026-03-14,2026-07-14,2,540,285,Medium,P6,,,Low,https://www.youtube.com/results?search_query=flutter+cheatreader,"desktop, epub, flutter, macos, markdown, reader",A floating desktop reader with transparent text-only mode for low-distraction reading.,cheatreader: a Flutter developer's guide,cheatreader,Planned
387,Flutter-examples,afgprogrammer/Flutter-examples,https://github.com/afgprogrammer/Flutter-examples,UI/Components,Dart,539,139,1,2021-07-26,2025-01-28,534,135,447,Low,P9,,,Low,https://www.youtube.com/results?search_query=flutter+flutter-examples,"flutter, flutter-apps, flutter-examples, flutter-ui",Flutter widget example.,Build better Flutter UI with Flutter-examples,flutter-examples,Planned
388,teapod-stream,Wendor/teapod-stream,https://github.com/Wendor/teapod-stream,Library/Tooling,Dart,531,40,27,2026-04-09,2026-07-10,6,531,289,Medium,P6,,,Low,https://www.youtube.com/results?search_query=flutter+teapod-stream,,,teapod-stream: a Flutter developer's guide,teapod-stream,Planned
389,TeVe,7-USH/TeVe,https://github.com/7-USH/TeVe,UI/Components,Dart,527,71,2,2023-01-04,2026-01-03,194,237,401,Low,P9,,,Low,https://www.youtube.com/results?search_query=flutter+teve,"fast-api, flutter, flutter-ui, iptv-channels, video-player",A cross platform free IPTv player developed for Android/IOS,Build better Flutter UI with TeVe,teve,Planned
390,sleek_circular_slider,matthewfx/sleek_circular_slider,https://github.com/matthewfx/sleek_circular_slider,Library/Tooling,Dart,526,107,47,2019-10-07,2025-05-31,411,132,448,Low,P9,,https://pub.dev/packages/sleek_circular_slider,Low,https://www.youtube.com/results?search_query=flutter+sleek-circular-slider,"android, circular-progress, customizable, dart, flutter, flutter-package",Sleek circular slider for Flutter,sleek_circular_slider: a Flutter developer's guide,sleek-circular-slider,Planned
391,agent-skills-standard,HoangNguyen0403/agent-skills-standard,https://github.com/HoangNguyen0403/agent-skills-standard,AI/ML,TypeScript,525,153,0,2026-01-15,2026-07-14,2,525,296,Medium,P6,,,Low,https://www.youtube.com/results?search_query=flutter+agent-skills-standard,"agent-, agentic-ai, android, angular, best-practices, coding-standards","A collection of Agent Skills Standard and Best Practice for Programming Languages, Frameworks that help our AI Agent follow best practies on frameworks and prog",Add AI to your Flutter app with agent-skills-standard,agent-skills-standard,Planned
392,Novella,Kanscape/Novella,https://github.com/Kanscape/Novella,Library/Tooling,Dart,525,13,2,2025-12-18,2026-07-10,6,525,297,Medium,P6,,,Low,https://www.youtube.com/results?search_query=flutter+novella,"android, flutter, ios, lightnovel, novel-reader, reader",轻书架第三方客户端,Novella: a Flutter developer's guide,novella,Planned
393,flutter-open-ui,yunweneric/flutter-open-ui,https://github.com/yunweneric/flutter-open-ui,UI/Components,C++,524,134,1,2022-03-31,2025-03-20,483,131,449,Low,P9,,,Low,https://www.youtube.com/results?search_query=flutter+flutter-open-ui,"dart, designers, flutter, flutter-apps, flutter-ui, user-experience", Flutter open-source project that's all about pushing the boundaries of User Interfaces! 🌟✨ If you're a Flutter enthusiast or just someone who appreciates stun,Build better Flutter UI with flutter-open-ui,flutter-open-ui,Planned
394,absorb,pounat/absorb,https://github.com/pounat/absorb,Backend/Data,Dart,522,21,53,2026-02-17,2026-07-14,2,522,299,Medium,P6,,,Low,https://www.youtube.com/results?search_query=flutter+absorb,,A cross platform Audiobookshelf client for Android and iOS,Data & backend in Flutter using absorb,absorb,Planned
395,transformer_page_view,best-flutter/transformer_page_view,https://github.com/best-flutter/transformer_page_view,Animation,Dart,515,149,37,2018-08-30,2023-11-29,960,129,450,Low,P9,,https://pub.dev/packages/transformer_page_view,Low,https://www.youtube.com/results?search_query=flutter+transformer-page-view,"animation, flutter, flutter-package, pageview, parallax, transformer",PageTransformer for flutter,Beautiful Flutter animations with transformer_page_view,transformer-page-view,Planned
396,flutter_getx_template,EmadBeltaje/flutter_getx_template,https://github.com/EmadBeltaje/flutter_getx_template,State management,Dart,515,136,0,2022-06-10,2026-03-22,116,335,370,Low,P8,,https://pub.dev/packages/flutter_getx_template,Low,https://www.youtube.com/results?search_query=flutter+flutter-getx-template,"android, api, app, dart, error-handle, fcm","Create flutter project with all needed configuration in two minutes (theme, localization, connect to firebase, FCM, local notifications, safe API call, error ha",State management in Flutter with flutter_getx_template: a practical guide,flutter-getx-template,Planned
397,drawing_animation,haucky/drawing_animation,https://github.com/haucky/drawing_animation,Animation,C++,512,127,13,2019-02-12,2025-08-22,328,230,404,Low,P9,,,Low,https://www.youtube.com/results?search_query=flutter+drawing-animation,"dart, flutter, svg, svg-animations, svg-path",A Flutter library for gradually painting SVG path objects on canvas (drawing line animation).,Beautiful Flutter animations with drawing_animation,drawing-animation,Planned
398,sylvakru,AfalpHy/sylvakru,https://github.com/AfalpHy/sylvakru,UI/Components,Dart,509,46,19,2025-09-05,2026-07-11,5,509,301,Medium,P7,,,Low,https://www.youtube.com/results?search_query=flutter+sylvakru,"android, emby, flutter, ios, linux, macos","A cross-platform music player for local and self-hosted libraries, built with Flutter",Build better Flutter UI with sylvakru,sylvakru,Planned
399,sakuramedia,tinypinglite/sakuramedia,https://github.com/tinypinglite/sakuramedia,Library/Tooling,Dart,505,26,2,2026-03-14,2026-07-16,0,505,302,Medium,P7,,,Low,https://www.youtube.com/results?search_query=flutter+sakuramedia,"jav, jav-scraper, javbus, javlibrary, joytag, nas",面向 NAS 用户的全平台、聚焦观影与自动化的核心需求，打造一站式Jav观影中枢。,sakuramedia: a Flutter developer's guide,sakuramedia,Planned
400,flutter_effects,HitenDev/flutter_effects,https://github.com/HitenDev/flutter_effects,Animation,Dart,502,57,4,2019-03-07,2022-09-29,1386,126,451,Low,P10,,https://pub.dev/packages/flutter_effects,Low,https://www.youtube.com/results?search_query=flutter+flutter-effects,"animation, customwidget, effect, effects, flutter, flutter-apps",flutter animation effects | custom widget | custom renderobject ,Beautiful Flutter animations with flutter_effects,flutter-effects,Planned
401,Musly,dddevid/Musly,https://github.com/dddevid/Musly,UI/Components,Dart,501,38,42,2026-01-01,2026-07-16,0,501,304,Medium,P7,,,Low,https://www.youtube.com/results?search_query=flutter+musly,"airsonic, airsonic-client, android, android-auto, apple-music-ui, cross-platform",A beautiful Flutter music streaming client for Subsonic-compatible servers with a modern Apple Music-inspired UI.,Build better Flutter UI with Musly,musly,Planned
402,plugins,rodydavis/plugins,https://github.com/rodydavis/plugins,UI/Components,Dart,494,85,1,2018-09-07,2022-06-06,1501,124,452,Low,P10,,https://pub.dev/packages/plugins,Low,https://www.youtube.com/results?search_query=flutter+plugins,"flutter, flutter-examples, flutter-package, flutter-plugin, flutter-widget",Flutter plugins created by Rody Davis,Build better Flutter UI with plugins,plugins,Planned
403,Flutter-Credit-Card-Input-Form,Origogi/Flutter-Credit-Card-Input-Form,https://github.com/Origogi/Flutter-Credit-Card-Input-Form,Animation,Dart,492,49,0,2020-03-04,2021-04-03,1930,123,453,Low,P10,,,Low,https://www.youtube.com/results?search_query=flutter+flutter-credit-card-input-form,"animation, card, card-companies, flutter, flutter-apps, flutter-examples",Flutter Credit Card Input form,Beautiful Flutter animations with Flutter-Credit-Card-Input-Form,flutter-credit-card-input-form,Planned
404,bilitv,kkkunny/bilitv,https://github.com/kkkunny/bilitv,Library/Tooling,Dart,489,15,9,2025-10-25,2026-06-14,32,416,339,Medium,P7,,,Low,https://www.youtube.com/results?search_query=flutter+bilitv,,由flutter实现的TV版哔哩哔哩，类似于bbll和bilibilitv。,bilitv: a Flutter developer's guide,bilitv,Planned
405,FlutterMinimalWebsite,Codelessly/FlutterMinimalWebsite,https://github.com/Codelessly/FlutterMinimalWebsite,Backend/Data,Dart,488,182,2,2020-02-22,2024-09-05,679,122,454,Low,P10,,,Low,https://www.youtube.com/results?search_query=flutter+flutterminimalwebsite,"android, app, blog, blog-template, blog-theme, demo",A minimalistic Flutter website template for blogs and portfolios. Demo: https://gallery.codelessly.com/flutterwebsites/minimal/,Data & backend in Flutter using FlutterMinimalWebsite,flutterminimalwebsite,Planned
406,flutter_bolg_manage,jhflovehqy/flutter_bolg_manage,https://github.com/jhflovehqy/flutter_bolg_manage,State management,Dart,487,129,19,2021-08-27,2023-11-15,974,122,455,Low,P10,,https://pub.dev/packages/flutter_bolg_manage,Low,https://www.youtube.com/results?search_query=flutter+flutter-bolg-manage,"android, android-app, androidstudio, dart, flutter, flutter-apps",Flutter实战项目，采用Getx框架管理，遵循Material design设计风格，适合您实战参考或练手,State management in Flutter with flutter_bolg_manage: a practical guide,flutter-bolg-manage,Planned
407,WanAndroid_Flutter,CCY0122/WanAndroid_Flutter,https://github.com/CCY0122/WanAndroid_Flutter,State management,Dart,486,93,2,2019-06-28,2021-06-17,1855,122,456,Low,P10,,,Low,https://www.youtube.com/results?search_query=flutter+wanandroid-flutter,"android, dart, flutter, flutter-apps, flutter-bloc, flutter-provider",🔥🔥超完整超漂亮的Flutter版wanAndroid客户端。含wanAndroid已开放的所有功能（包括TODO）。项目包含BloC模式、Provider模式、常规模式。,State management in Flutter with WanAndroid_Flutter: a practical guide,wanandroid-flutter,Planned
408,flutter_page_transition,kalismeras61/flutter_page_transition,https://github.com/kalismeras61/flutter_page_transition,UI/Components,Dart,484,67,10,2018-12-14,2026-05-23,54,411,343,Medium,P7,,https://pub.dev/packages/flutter_page_transition,Low,https://www.youtube.com/results?search_query=flutter+flutter-page-transition,"alignment, curve, flutter-apps, flutter-package, flutter-plugin, flutter-transition",This is Flutter Page Transition Package,Build better Flutter UI with flutter_page_transition,flutter-page-transition,Planned
409,OpenListApp,OpenListApp/OpenListApp,https://github.com/OpenListApp/OpenListApp,UI/Components,Dart,482,31,13,2025-06-15,2026-04-01,106,313,374,Low,P8,,,Low,https://www.youtube.com/results?search_query=flutter+openlistapp,"alist, android, ddns-go, flutter, golang, ios",Alist、OpenList GUI  App for Android、 iOS、Windows、macOS、Linux with Alist、OpenList local server,Build better Flutter UI with OpenListApp,openlistapp,Planned
410,flutter_advanced,cscoderr/flutter_advanced,https://github.com/cscoderr/flutter_advanced,Animation,Dart,481,68,1,2022-12-31,2026-05-28,49,409,344,Medium,P7,,https://pub.dev/packages/flutter_advanced,Low,https://www.youtube.com/results?search_query=flutter+flutter-advanced,"animation, animations, dart, flutter, flutter-apps, flutter-demo","A collection of custom/advanced Flutter design, animations and UI ",Beautiful Flutter animations with flutter_advanced,flutter-advanced,Planned
411,calibre-web-companion,doen1el/calibre-web-companion,https://github.com/doen1el/calibre-web-companion,App/Template,Dart,480,30,3,2025-03-05,2026-07-16,0,480,310,Medium,P7,,,Low,https://www.youtube.com/results?search_query=flutter+calibre-web-companion,"android, calibre-web, dart, ebooks, fdroid, flutter",Unofficial companion app for calibre web (automated),Inside calibre-web-companion: an open-source Flutter app worth studying,calibre-web-companion,Planned
412,florid,Nandanrmenon/florid,https://github.com/Nandanrmenon/florid,App/Template,Dart,478,17,42,2025-12-05,2026-06-16,30,478,312,Medium,P7,,,Low,https://www.youtube.com/results?search_query=flutter+florid,"android, android-store, fdroid, flutter, flutter-apps",F-Droid Client,Inside florid: an open-source Flutter app worth studying,florid,Planned
413,states_rebuilder,GIfatahTH/states_rebuilder,https://github.com/GIfatahTH/states_rebuilder,State management,Dart,476,52,18,2019-03-01,2024-02-20,877,119,457,Low,P10,,https://pub.dev/packages/states_rebuilder,Low,https://www.youtube.com/results?search_query=flutter+states-rebuilder,"dart, dependency-injection, flutter, flutter-package, state-management",a simple yet powerful state management technique for Flutter,State management in Flutter with states_rebuilder: a practical guide,states-rebuilder,Planned
414,like_button,fluttercandies/like_button,https://github.com/fluttercandies/like_button,Animation,Dart,476,99,8,2019-05-27,2025-05-19,423,119,458,Low,P10,,https://pub.dev/packages/like_button,Low,https://www.youtube.com/results?search_query=flutter+like-button,"flutter-library, like-animation, like-button, twitter-heart",Like Button is a flutter library that allows you to create a button with animation effects similar to Twitter's heart when you like something and animation effe,Beautiful Flutter animations with like_button,like-button,Planned
415,pt_mate,JustLookAtNow/pt_mate,https://github.com/JustLookAtNow/pt_mate,UI/Components,Dart,475,32,8,2025-08-29,2026-07-15,1,475,313,Medium,P7,,https://pub.dev/packages/pt_mate,Low,https://www.youtube.com/results?search_query=flutter+pt-mate,"m-team, nexusphp, pt",基于 Flutter（Material Design 3）开发的私有种子站点客户端，支持多种PT站点的种子浏览、搜索和下载管理。目前支持M-Team和NexusPHP类型的站点。,Build better Flutter UI with pt_mate,pt-mate,Planned
416,flutter_eCommerce_ui_kit,Furqankhanzada/flutter_eCommerce_ui_kit,https://github.com/Furqankhanzada/flutter_eCommerce_ui_kit,UI/Components,Dart,474,147,2,2019-09-07,2023-07-25,1087,118,459,Low,P10,,,Low,https://www.youtube.com/results?search_query=flutter+flutter-ecommerce-ui-kit,"ecommerce, flutter, flutter-apps, flutter-demo, flutter-devloper, flutter-ecommerce",Flutter - E Commerce UI KIT ( completely free for everyone ),Build better Flutter UI with flutter_eCommerce_ui_kit,flutter-ecommerce-ui-kit,Planned
417,android-ir-blaster,iodn/android-ir-blaster,https://github.com/iodn/android-ir-blaster,State management,Dart,472,46,16,2025-03-10,2026-07-03,13,472,315,Medium,P7,,,Low,https://www.youtube.com/results?search_query=flutter+android-ir-blaster,"android, apk, f-droid, fdroid, flipper-zero, flipperzero","Create custom infrared (IR) remotes using hex codes, raw signals, or import Flipper Zero, LIRC, and IRPLUS files",State management in Flutter with android-ir-blaster: a practical guide,android-ir-blaster,Planned
418,form_bloc,GiancarloCode/form_bloc,https://github.com/GiancarloCode/form_bloc,State management,Dart,467,217,107,2019-08-06,2024-06-20,756,117,460,Low,P10,,https://pub.dev/packages/form_bloc,Low,https://www.youtube.com/results?search_query=flutter+form-bloc,"bloc, dart, flutter, form, form-handler, form-validation","🔥 Dart and Flutter Package 🔥 Easy Form State Management using BLoC pattern 🔥 Wizard/stepper forms, asynchronous validation, dynamic and conditional fields, s",State management in Flutter with form_bloc: a practical guide,form-bloc,Planned
419,flutter_ui_challenge_planets_app,rvamsikrishna/flutter_ui_challenge_planets_app,https://github.com/rvamsikrishna/flutter_ui_challenge_planets_app,UI/Components,Dart,465,119,1,2018-11-30,2022-08-04,1442,116,461,Low,P10,,https://pub.dev/packages/flutter_ui_challenge_planets_app,Low,https://www.youtube.com/results?search_query=flutter+flutter-ui-challenge-planets-app,"flutter, flutter-examples, flutter-ui",A flutter ui challenge .... building a planets app,Build better Flutter UI with flutter_ui_challenge_planets_app,flutter-ui-challenge-planets-app,Planned
420,flutter-shopping-AiRi,xieyezi/flutter-shopping-AiRi,https://github.com/xieyezi/flutter-shopping-AiRi,AI/ML,Dart,460,107,1,2020-05-17,2024-08-01,714,115,462,Low,P10,,,Low,https://www.youtube.com/results?search_query=flutter+flutter-shopping-airi,"android, citypicker, customview, dart, dialog, dio","A shopping App developed based on Flutter, covering common features of shopping apps.",Add AI to your Flutter app with flutter-shopping-AiRi,flutter-shopping-airi,Planned
421,neopop-flutter,CRED-CLUB/neopop-flutter,https://github.com/CRED-CLUB/neopop-flutter,UI/Components,Dart,457,55,7,2022-06-01,2024-03-31,837,114,463,Low,P10,,,Low,https://www.youtube.com/results?search_query=flutter+neopop-flutter,"cred, dart, flutter, flutter-package, flutter-ui, framework",NeoPOP is CRED's inbuilt library for using NeoPOP components in your app,Build better Flutter UI with neopop-flutter,neopop-flutter,Planned
422,yolo-flutter-app,ultralytics/yolo-flutter-app,https://github.com/ultralytics/yolo-flutter-app,AI/ML,Dart,457,168,2,2024-03-12,2026-07-16,0,457,319,Medium,P7,,,Low,https://www.youtube.com/results?search_query=flutter+yolo-flutter-app,"ai, android, app, coreml, dart, flutter",Flutter plugin for Ultralytics YOLO,Add AI to your Flutter app with yolo-flutter-app,yolo-flutter-app,Planned
423,myune_music,xiaobaimc/myune_music,https://github.com/xiaobaimc/myune_music,App/Template,Dart,456,37,10,2025-06-18,2026-07-14,2,456,320,Medium,P7,,https://pub.dev/packages/myune_music,Low,https://www.youtube.com/results?search_query=flutter+myune-music,"dart, flutter, flutter-app, music-player, rust",一个使用 Flutter(Dart) 的简单音乐播放器实现 / A simple music player implemented using Flutter (Dart).,Inside myune_music: an open-source Flutter app worth studying,myune-music,Planned
424,skystream,akashdh11/skystream,https://github.com/akashdh11/skystream,Library/Tooling,Dart,454,37,24,2026-01-19,2026-07-15,1,454,321,Medium,P7,,,Low,https://www.youtube.com/results?search_query=flutter+skystream,,"SkyStream is a modern, cross-platform media streaming client inspired by CloudStream. It uses a custom JavaScript runtime for plugins, allowing users to scrape ",skystream: a Flutter developer's guide,skystream,Planned
425,KikoFlu,pa-jesusf/KikoFlu,https://github.com/pa-jesusf/KikoFlu,App/Template,Dart,453,16,19,2025-11-06,2026-06-23,23,453,322,Medium,P7,,,Low,https://www.youtube.com/results?search_query=flutter+kikoflu,"android-app, asmr, flutter, ios-app, kikoeru, linux-app","Kikoeru Flutter ASMR player app, 跨平台同人音声客户端",Inside KikoFlu: an open-source Flutter app worth studying,kikoflu,Planned
426,fluttie,simolus3/fluttie,https://github.com/simolus3/fluttie,Animation,Java,453,50,15,2018-02-02,2021-01-18,2005,113,464,Low,P10,,,Low,https://www.youtube.com/results?search_query=flutter+fluttie,"animation, flutter, lottie, lottie-android, ui",Easily display stunning Lottie animations in flutter apps with this plugin.,Beautiful Flutter animations with fluttie,fluttie,Planned
427,Adb-Device-Manager-2,Shrey113/Adb-Device-Manager-2,https://github.com/Shrey113/Adb-Device-Manager-2,Backend/Data,HTML,450,28,1,2025-11-10,2026-07-14,2,450,324,Medium,P7,,,Low,https://www.youtube.com/results?search_query=flutter+adb-device-manager-2,"adb, adb-tools, android-control, device-manager, file-manager, flutter","Dual-control Android management for Windows — ADB Mode (scrcpy GUI mirroring & control) and App Mode (calls, media, notifications, Audio Cast).",Data & backend in Flutter using Adb-Device-Manager-2,adb-device-manager-2,Planned
428,Nova3D,RareSense/Nova3D,https://github.com/RareSense/Nova3D,AI/ML,Dart,448,46,0,2026-05-06,2026-07-16,0,448,325,Medium,P7,,,Low,https://www.youtube.com/results?search_query=flutter+nova3d,"3d-generation, blen, cad, claude, flutter, gemini","Editable, part-aware 3D generation from text or reference images. Open-source client for nova3d.xyz.",Add AI to your Flutter app with Nova3D,nova3d,Planned
429,math-metrix,jaysavsani07/math-metrix,https://github.com/jaysavsani07/math-metrix,UI/Components,Dart,447,104,0,2020-04-09,2025-11-03,255,201,412,Low,P9,,,Low,https://www.youtube.com/results?search_query=flutter+math-metrix,"clean-architecture, clean-code, dart, dart-lang, dart-package, dart2","This is Math-Puzzle game made in flutter and available on Playstore & AppStore,Math Matrix is a Math Game that tries to improvise your math skills in a fun way.",Build better Flutter UI with math-metrix,math-metrix,Planned
430,mithka,iebb/mithka,https://github.com/iebb/mithka,Library/Tooling,Dart,447,16,4,2026-06-22,2026-07-16,0,447,326,Medium,P7,,,Low,https://www.youtube.com/results?search_query=flutter+mithka,,"A Telegram client, but déjà vu",mithka: a Flutter developer's guide,mithka,Planned
431,Flutter-UI-Kit,usman18/Flutter-UI-Kit,https://github.com/usman18/Flutter-UI-Kit,UI/Components,Dart,445,85,0,2019-11-11,2022-10-29,1356,111,465,Low,P10,,,Low,https://www.youtube.com/results?search_query=flutter+flutter-ui-kit,"chatapp, expense-tracker, flutter, flutter-examples, flutter-material, flutter-ui",A repository full of beautiful UI examples in Flutter ,Build better Flutter UI with Flutter-UI-Kit,flutter-ui-kit,Planned
432,animated-bottom-navigation-bar-flutter,LanarsInc/animated-bottom-navigation-bar-flutter,https://github.com/LanarsInc/animated-bottom-navigation-bar-flutter,Animation,Dart,444,128,7,2020-04-22,2025-02-11,520,111,466,Low,P10,,,Low,https://www.youtube.com/results?search_query=flutter+animated-bottom-navigation-bar-flutter,"bottom-navigation, flutter, flutter-ui, flutter-ui-collection, widget",AnimatedBottomNavigationBar is a customizable widget inspired by,Beautiful Flutter animations with animated-bottom-navigation-bar-flutter,animated-bottom-navigation-bar-flutter,Planned
433,flutter-fb-reactions-animation,duytq94/flutter-fb-reactions-animation,https://github.com/duytq94/flutter-fb-reactions-animation,Animation,Dart,444,65,2,2018-06-20,2024-02-18,879,111,467,Low,P10,,,Low,https://www.youtube.com/results?search_query=flutter+flutter-fb-reactions-animation,"animation, demo, facebook-reactions, flutter",The app to demo animation with Flutter by implement Facebook reactions,Beautiful Flutter animations with flutter-fb-reactions-animation,flutter-fb-reactions-animation,Planned
434,bottom_bar_with_sheet,Frezyx/bottom_bar_with_sheet,https://github.com/Frezyx/bottom_bar_with_sheet,Animation,Dart,442,46,4,2020-06-20,2022-05-02,1536,110,468,Low,P10,,https://pub.dev/packages/bottom_bar_with_sheet,Low,https://www.youtube.com/results?search_query=flutter+bottom-bar-with-sheet,"android, android-ui, animation, bottomnavigation, bottomnavigationbar, bottomsheet",:rocket: Flutter custom BottomBar Navigation Widget,Beautiful Flutter animations with bottom_bar_with_sheet,bottom-bar-with-sheet,Planned
435,Flutter-Login-Page-UI,afgprogrammer/Flutter-Login-Page-UI,https://github.com/afgprogrammer/Flutter-Login-Page-UI,Animation,Dart,442,251,0,2019-10-06,2023-10-21,999,110,469,Low,P10,,,Low,https://www.youtube.com/results?search_query=flutter+flutter-login-page-ui,"flutter, flutter-animation, flutter-app, flutter-design, flutter-example, flutter-login",Flutter Beautiful Login Page  design and Animation - day 12,Beautiful Flutter animations with Flutter-Login-Page-UI,flutter-login-page-ui,Planned
436,feedback,ueman/feedback,https://github.com/ueman/feedback,UI/Components,Dart,439,136,82,2019-12-02,2026-07-14,2,439,330,Medium,P7,,https://pub.dev/packages/feedback,Low,https://www.youtube.com/results?search_query=flutter+feedback,"dart, feedback, flutter, flutter-package, hacktoberfest, pub",A simple widget for getting better feedback.,Build better Flutter UI with feedback,feedback,Planned
437,ez_tickets_app,arafaysaleem/ez_tickets_app,https://github.com/arafaysaleem/ez_tickets_app,UI/Components,Dart,439,108,3,2021-03-21,2023-09-30,1020,110,470,Low,P10,,https://pub.dev/packages/ez_tickets_app,Low,https://www.youtube.com/results?search_query=flutter+ez-tickets-app,"android, cinema-app, clean-architecture, clean-code, flutter, flutter-advanced",A cinema ticket booking app made with Flutter SDK,Build better Flutter UI with ez_tickets_app,ez-tickets-app,Planned
438,flutter-crypto-app,salvadordeveloper/flutter-crypto-app,https://github.com/salvadordeveloper/flutter-crypto-app,State management,Dart,439,101,7,2021-05-27,2022-10-01,1384,110,471,Low,P10,,,Low,https://www.youtube.com/results?search_query=flutter+flutter-crypto-app,"app, flutter, flutter-apps, flutter-demo, flutter-ui, freezed",Flutter Cryptocurrency App with Riverpod & Freezed + Dio for API REST,State management in Flutter with flutter-crypto-app: a practical guide,flutter-crypto-app,Planned
439,flutter_liquid_glass,whynotmake-it/flutter_liquid_glass,https://github.com/whynotmake-it/flutter_liquid_glass,UI/Components,Dart,432,74,43,2025-06-13,2026-06-14,32,367,355,Low,P8,,https://pub.dev/packages/flutter_liquid_glass,Low,https://www.youtube.com/results?search_query=flutter+flutter-liquid-glass,,Workspace for liquid glass packages,Build better Flutter UI with flutter_liquid_glass,flutter-liquid-glass,Planned
440,owlistic,owlistic-notes/owlistic,https://github.com/owlistic-notes/owlistic,Animation,Dart,432,19,65,2025-04-14,2026-07-15,1,432,332,Medium,P7,,,Low,https://www.youtube.com/results?search_query=flutter+owlistic,"dart, event-driven, evernote-alternative, flutter, go, golang",🦉 Free open-source notetaking app with real-time sync 🔄⚡️🚀,Beautiful Flutter animations with owlistic,owlistic,Planned
441,CyreneMusic,moraxs/CyreneMusic,https://github.com/moraxs/CyreneMusic,Library/Tooling,Dart,431,57,14,2025-09-30,2026-04-18,89,366,356,Low,P8,,,Low,https://www.youtube.com/results?search_query=flutter+cyrenemusic,,flutter开发的第三方音乐播放器,CyreneMusic: a Flutter developer's guide,cyrenemusic,Planned
442,Scrcpy-GUI,GeorgeEnglezos/Scrcpy-GUI,https://github.com/GeorgeEnglezos/Scrcpy-GUI,UI/Components,Dart,427,16,6,2025-04-18,2026-06-29,17,427,335,Medium,P7,,,Low,https://www.youtube.com/results?search_query=flutter+scrcpy-gui,"emulation, gaming, remote-control, scrcpy, scrcpy-android, scrcpy-gui",An unofficial beginner-friendly user interface for the Scrcpy Project,Build better Flutter UI with Scrcpy-GUI,scrcpy-gui,Planned
443,flutter_rating_bar,sarbagyastha/flutter_rating_bar,https://github.com/sarbagyastha/flutter_rating_bar,Library/Tooling,Dart,421,118,49,2019-03-28,2024-09-20,664,105,472,Low,P10,,https://pub.dev/packages/flutter_rating_bar,Low,https://www.youtube.com/results?search_query=flutter+flutter-rating-bar,"android, custom-rating, flutter, flutter-package, flutter-plugin, flutter-rating","A simple ratingbar for flutter which also include a rating bar indicator, supporting any fraction of rating.",flutter_rating_bar: a Flutter developer's guide,flutter-rating-bar,Planned
444,Airclap,Gentleflow/Airclap,https://github.com/Gentleflow/Airclap,AI/ML,,419,26,3,2023-09-24,2026-05-05,72,356,360,Low,P8,,,Low,https://www.youtube.com/results?search_query=flutter+airclap,"cross-platform, file-transfer, flie-sharing, flutter, local-network, nearby","The best file transfer tool that is user-friendly, cross-platform, ultra-fast, and beautifully designed. ",Add AI to your Flutter app with Airclap,airclap,Planned
445,flow_builder,felangel/flow_builder,https://github.com/felangel/flow_builder,Navigation,Dart,416,68,31,2020-10-12,2024-11-27,596,104,473,Low,P10,,https://pub.dev/packages/flow_builder,Low,https://www.youtube.com/results?search_query=flutter+flow-builder,"dart, flutter, flutter-package, navigation, navigator, router","Flutter Flows made easy! A Flutter package which simplifies navigation flows with a flexible, declarative API.",Flutter navigation done right with flow_builder,flow-builder,Planned
